"16","Tell","212"
"9","Treatment","557"
"9","Must","513"
"10","Make","308"
"10","Clear","104"
"5","Risk","295"
"13","Way","62"
"19","Charge","113"
"3","Operation","168"
"5","Might","169"
"1","Evening","476"
"3","Operation","171"
"16","Particular","27"
"1","Season","387"
"16","Population","125"
"10","Make","317"
"9","Wish","390"
"8","Defense","262"
"2","Seven","393"
"5","Situation","474"
"16","Particular","516"
"16","Administration","376"
"7","Over","435"
"11","Clearly","8"
"16","Interest","431"
"14","More","239"
"8","Situation","355"
"4","Mr","321"
"5","Risk","478"
"11","Board","259"
"9","Must","279"
"16","Administration","167"
"3","This","227"
"5","Situation","331"
"7","Act","23"
"16","Paper","485"
"19","Charge","293"
"1","Season","253"
"3","This","104"
"16","Administration","529"
"6","Single","202"
"16","Particular","339"
"10","Old","136"
"10","Least","503"
"3","Operation","478"
"4","Pattern","376"
"4","Four","202"
"17","Cost","208"
"10","Thing","502"
"8","Defense","89"
"3","Property","531"
"7","From","567"
"9","Wish","285"
"3","Realize","80"
"10","Clear","23"
"12","Democratic","488"
"5","Risk","350"
"7","Enjoy","2"
"16","Possible","302"
"3","Operation","428"
"3","Property","526"
"17","Cost","290"
"10","Make","39"
"6","Single","354"
"6","Single","422"
"14","More","237"
"7","From","496"
"4","Pattern","567"
"7","Over","445"
"19","Charge","295"
"8","Anything","496"
"19","Charge","408"
"7","From","441"
