id,name,category,alcoholType,glass,instructions,imageUrl,ingredients/0/name,ingredients/0/measure,ingredients/1/name,ingredients/1/measure,ingredients/2/name,ingredients/2/measure,ingredients/3/name,ingredients/3/measure,ingredients/4/name,ingredients/4/measure,ingredients/5/name,ingredients/5/measure,ingredients/6/name,ingredients/6/measure,ingredients/7/name,ingredients/7/measure,ingredients/8/name,ingredients/8/measure,ingredients/9/name,ingredients/9/measure,ingredients/10/name,ingredients/10/measure,ingredients/11/name,ingredients/11/measure
11798,Monkey Wrench,Ordinary Drink,ALCOHOLIC,Old-fashioned glass,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/8it05n1504353314.jpg,Light rum,4.5 cl,Grapefruit juice,9 cl,Bitters,1 dash,,,,,,,,,,,,,,,,,,
17207,Pina Colada,Ordinary Drink,ALCOHOLIC,Collins glass,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/cpf4j51504371346.jpg,Light rum,9 cl,Coconut milk,3 tblsp,Pineapple,3 tblsp,,,,,,,,,,,,,,,,,,
11983,Quaker's Cocktail,Ordinary Drink,ALCOHOLIC,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/yrqppx1478962314.jpg,Light rum,2.3 cl,Brandy,2.3 cl,Lemon,Juice of 1/4,Raspberry syrup,2 tsp,,,,,,,,,,,,,,,,
11985,Quarter Deck Cocktail,Ordinary Drink,ALCOHOLIC,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/qrwvps1478963017.jpg,Light rum,1 1/2,Sherry,1 cl cream,Lime,Juice of 1/2,,,,,,,,,,,,,,,,,,
12087,Rum Milk Punch,Ordinary Drink,ALCOHOLIC,Collins glass,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/w64lqm1504888810.jpg,Light rum,6 cl,Milk,1 cup,Powdered sugar,1 tsp,Nutmeg,,,,,,,,,,,,,,,,,
12089,Rum Old-fashioned,Ordinary Drink,ALCOHOLIC,Old-fashioned glass,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.",https://www.thecocktaildb.com/images/media/drink/otn2011504820649.jpg,Light rum,4.5 cl,151 proof rum,1 tsp,Powdered sugar,1/2 tsp,Bitters,1 dash,Water,1 tsp,Lime peel,Twist of,,,,,,,,,,,,
12091,Rum Screwdriver,Ordinary Drink,ALCOHOLIC,Highball glass,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/4c85zq1511782093.jpg,Light rum,4.5 cl,Orange juice,15 cl,,,,,,,,,,,,,,,,,,,,
12093,Rum Sour,Ordinary Drink,ALCOHOLIC,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",https://www.thecocktaildb.com/images/media/drink/bylfi21504886323.jpg,Light rum,6 cl,Lemon juice,3 cl,Sugar,1/2 tsp superfine,Orange,1,Maraschino cherry,1,,,,,,,,,,,,,,
12186,Shanghai Cocktail,Ordinary Drink,ALCOHOLIC,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/ttyrxr1478820678.jpg,Light rum,3 cl Jamaican,Anisette,1 tsp,Grenadine,1/2 tsp,Lemon,Juice of 1/4,,,,,,,,,,,,,,,,
12316,Strawberry Daiquiri,Ordinary Drink,ALCOHOLIC,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg,Strawberry schnapps,1.5 cl,Light rum,3 cl,Lime juice,3 cl,Powdered sugar,1 tsp,Strawberries,3 cl,,,,,,,,,,,,,,
16271,The Evil Blue Thing,Cocktail,ALCOHOLIC,Old-fashioned glass,"Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun"".",https://www.thecocktaildb.com/images/media/drink/ojnpz71504793059.jpg,Creme de Cacao,4.5 cl,Blue Curacao,3 cl,Light rum,1.5 cl,,,,,,,,,,,,,,,,,,
12436,Van Vleet,Ordinary Drink,ALCOHOLIC,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",https://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg,Light rum,9 cl,Maple syrup,3 cl,Lemon juice,3 cl,,,,,,,,,,,,,,,,,,
12444,Vesuvio,Ordinary Drink,ALCOHOLIC,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",https://www.thecocktaildb.com/images/media/drink/26cq601492976203.jpg,Light rum,3 cl,Sweet Vermouth,1.5 cl,Lemon,Juice of 1/2,Powdered sugar,1 tsp,Egg white,1,,,,,,,,,,,,,,
11002,A. J.,Ordinary Drink,ALCOHOLIC,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/uryyrr1472811418.jpg,Applejack,4.5 cl,Grapefruit juice,3 cl,,,,,,,,,,,,,,,,,,,,
11046,Applecar,Ordinary Drink,ALCOHOLIC,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/sbffau1504389764.jpg,Applejack,3 cl,Triple sec,3 cl,Lemon juice,3 cl,,,,,,,,,,,,,,,,,,
13940,69 Special,Ordinary Drink,ALCOHOLIC,Collins Glass,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",https://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,Gin,6 cl dry,7-Up,12 cl,Lemon juice,2.3 cl,,,,,,,,,,,,,,,,,,
17222,A1,Cocktail,ALCOHOLIC,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Gin,1 3/4 shot,Grand Marnier,1 Shot,Lemon Juice,1/4 Shot,Grenadine,1/8 Shot,,,,,,,,,,,,,,,,
11003,Abbey Cocktail,Ordinary Drink,ALCOHOLIC,Cocktail glass,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,https://www.thecocktaildb.com/images/media/drink/quyyuw1472811568.jpg,Gin,4.5 cl,Orange bitters,1 dash,Orange,Juice of 1/4,Cherry,1,,,,,,,,,,,,,,,,
17223,Abbey Martini,Cocktail,ALCOHOLIC,Cocktail glass,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass.",https://www.thecocktaildb.com/images/media/drink/2mcozt1504817403.jpg,Gin,2 shots,Sweet Vermouth,1 shot,Orange Juice,1 shot,Angostura Bitters,3 dashes,,,,,,,,,,,,,,,,
17225,Ace,Cocktail,ALCOHOLIC,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Gin,2 shots,Grenadine,1/2 shot,Heavy cream,1/2 shot,Milk,1/2 shot,Egg White,1/2 Fresh,,,,,,,,,,,,,,
17226,Adam & Eve,Cocktail,ALCOHOLIC,Cocktail glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/vfeumw1504819077.jpg,Gin,1 shot,Cognac,1 shot,Creme de Cassis,1 shot,Fresh Lemon Juice,1/8 shot,,,,,,,,,,,,,,,,
17228,Addison,Cocktail,ALCOHOLIC,Martini Glass,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,Gin,1 1/2 shot,Vermouth,1 1/2 shot,,,,,,,,,,,,,,,,,,,,
11013,Alaska Cocktail,Ordinary Drink,ALCOHOLIC,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass. Drop in a twist of lemon and serve.",https://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg,Orange bitters,2 dashes,Gin,4.5 cl,Yellow Chartreuse,2.3 cl,Lemon peel,Twist of,,,,,,,,,,,,,,,,
11014,Alexander,Ordinary Drink,ALCOHOLIC,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg,Gin,1.5 cl,Creme de Cacao,1.5 cl white,Light cream,6 cl,Nutmeg,,,,,,,,,,,,,,,,,
11022,Allies Cocktail,Ordinary Drink,ALCOHOLIC,Cocktail glass,"Stir all ingredients with ice, strain contents into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg,Dry Vermouth,3 cl,Gin,3 cl,Kummel,1/2 tsp,,,,,,,,,,,,,,,,,,
11034,Angel Face,Ordinary Drink,ALCOHOLIC,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass.,https://www.thecocktaildb.com/images/media/drink/vqpptp1478253178.jpg,Apricot brandy,1.5 cl,Apple brandy,1.5 cl,Gin,3 cl,,,,,,,,,,,,,,,,,,
11052,Archbishop,Ordinary Drink,ALCOHOLIC,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.",https://www.thecocktaildb.com/images/media/drink/xpqwrt1441207307.jpg,Gin,6 cl,Wine,3 cl Green Ginger,Benedictine,1 tsp,Lime,1,,,,,,,,,,,,,,,,
17066,Army special,Cocktail,ALCOHOLIC,Cocktail glass,"Pour Vodka, Gin and lime cordial into glass, and top up with crushed ice. Wait for ice to melt slightly and sip without a straw.",https://www.thecocktaildb.com/images/media/drink/55muhh1493068062.jpg,Vodka,30 ml,Gin,30 ml,Lime juice cordial,45 ml,Ice,1/2 glass crushed,,,,,,,,,,,,,,,,
11054,Arthur Tompkins,Ordinary Drink,ALCOHOLIC,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist.",https://www.thecocktaildb.com/images/media/drink/7onfhz1493067921.jpg,Gin,6 cl,Grand Marnier,1.5 cl,Lemon juice,2 tsp,Lemon peel,1 twist of,,,,,,,,,,,,,,,,
11055,Artillery,Ordinary Drink,ALCOHOLIC,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/g1vnbe1493067747.jpg,Sweet Vermouth,1 1/2 tsp,Gin,4.5 cl,Bitters,2 dashes,,,,,,,,,,,,,,,,,,
13938,AT&T,Ordinary Drink,ALCOHOLIC,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir",https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Absolut Vodka,3 cl,Gin,3 cl,Tonic water,12 cl,,,,,,,,,,,,,,,,,,
17180,Aviation,Cocktail,ALCOHOLIC,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/ruutxt1478253328.jpg,Gin,4.5 cl,lemon juice,1.5 cl,maraschino liqueur,1.5 cl,,,,,,,,,,,,,,,,,,
11084,Bermuda Highball,Ordinary Drink,ALCOHOLIC,Highball glass,"Pour brandy, gin, and dry vermouth into a highball glass over ice cubes. Fill with carbonated water and stir. Add the twist of lemon and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",https://www.thecocktaildb.com/images/media/drink/qrvtww1441206528.jpg,Brandy,2.3 cl,Gin,2.3 cl,Dry Vermouth,2.3 cl,Carbonated water,,Lemon peel,,,,,,,,,,,,,,,
17254,Bijou,Cocktail,ALCOHOLIC,Cocktail glass,"Stir in mixing glass with ice and strain
",https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,Orange Bitters,1 dash,Green Chartreuse,3 cl,Gin,3 cl,Sweet Vermouth,3 cl,,,,,,,,,,,,,,,,
11120,Bluebird,Ordinary Drink,ALCOHOLIC,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.",https://www.thecocktaildb.com/images/media/drink/vxypsq1441209971.jpg,Gin,4.5 cl,Triple sec,1.5 cl,Blue Curacao,1.5 cl,Bitters,2 dashes,Maraschino cherry,1,Lemon peel,1 twist of,,,,,,,,,,,,
17242,Bombay Cassis,Cocktail,ALCOHOLIC,Balloon Glass,"Add the Bombay Sapphire, Crème de Cassis and lime juice to a balloon glass and swirl well to mix.
Fill the glass with good quality cubed ice.
Top up with chilled and freshly opened Fever-Tree Ginger Beer.
Gently stir to combine, top with a gently squeezed lime wedge and finish with a fresh ginger slice.",https://www.thecocktaildb.com/images/media/drink/h1e0e51510136907.jpg,Gin,50 ml,Creme de Cassis,20 ml,Fresh Lime Juice,15 ml,Ginger beer,75 ml,Lime,1,Ginger,1 long strip,,,,,,,,,,,,
11124,Boomerang,Ordinary Drink,ALCOHOLIC,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,Gin,6 cl,Dry Vermouth,1.5 cl,Bitters,2 dashes,Maraschino liqueur,1/2 tsp,Maraschino cherry,1,,,,,,,,,,,,,,
11149,Boxcar,Ordinary Drink,ALCOHOLIC,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Gin,4.5 cl,Triple sec,3 cl,Lemon juice,1 tsp,Grenadine,1/2 tsp,Egg white,1,,,,,,,,,,,,,,
17210,Bramble,Ordinary Drink,ALCOHOLIC,Old-Fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",https://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Gin,4 cl,lemon juice,1.5 cl,Sugar syrup,1 cl,Creme de Mure,1.5 cl,,,,,,,,,,,,,,,,
17185,Casino,Ordinary Drink,ALCOHOLIC,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Gin,6 cl,Maraschino liqueur,1/4 tsp,Lemon juice,1/4 tsp,Orange bitters,2 dashes,Cherry,1,,,,,,,,,,,,,,
11224,Casino Royale,Ordinary Drink,ALCOHOLIC,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.",https://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,Gin,6 cl,Lemon juice,1.5 cl,Maraschino liqueur,1 tsp,Orange bitters,1 dash,Egg yolk,1,,,,,,,,,,,,,,
17174,Cherry Electric Lemonade,Cocktail,OPTIONAL,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.,https://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,Gin,3 cl,Tequila,3 cl,Vodka,3 cl,White rum,3 cl,Triple Sec,3 cl,Cherry Grenadine,3 cl,Sweet and sour,3 cl,Club soda,9 cl,,,,,,,,
